entropy,file_size_bytes,suspicious_imports_count,has_signature,is_packed,label
5.953260663321034,88587,3,1,0,0
5.955434483915325,78889,3,1,0,0
5.946978981736214,98917,18,0,0,1
7.398079235367286,95026,10,0,1,1
8.0,217133,8,0,1,1
6.296719247152761,50114,13,0,1,1
6.703742832607528,141114,10,1,1,1
7.013151779426192,122179,13,0,1,1
7.773272015271326,5900,13,0,1,1
4.620295631711899,920338,4,1,0,0
4.627927202374579,96046,1,1,0,0
4.401411867715738,47714,5,1,0,0
7.805363280059052,94616,11,0,1,1
3.7461378863090387,60011,3,1,0,0
6.418827045029558,20647,19,0,0,1
2.8108169620327383,23454,4,1,1,0
3.9332948919449473,117365,1,1,0,0
5.055826027575128,196689,1,1,0,0
6.793617365443037,55607,18,0,1,1
4.322831884885238,40266,4,1,0,0
5.522841471550764,415789,3,0,0,0
6.254794181984365,42584,0,1,0,0
4.462429355020519,1008776,4,1,0,0
2.8724575621168373,69938,2,1,0,0
5.050052099024552,561362,4,1,0,0
6.588296308851965,13211,24,0,1,1
4.861503525206102,167533,2,1,0,0
3.402389017724273,367952,3,1,0,0
7.278897375036657,2346,20,0,1,1
3.5973456400121804,56721,2,1,0,0
5.790041322936412,13221,19,0,0,1
3.4189434595917376,585091,1,1,0,0
5.111676288840868,31452,1,1,0,0
6.724681967250644,34968,17,0,0,1
7.4061593186261785,997,13,0,1,1
4.475874912889997,43046,1,1,0,0
5.695177411511416,173026,1,1,0,0
4.256938801119134,460720,1,0,0,0
6.852459380045578,76035,24,0,1,1
4.478632705651564,210403,0,0,0,0
7.637432490449332,3069,20,0,1,1
2.5354639618970753,65830,3,0,0,0
8.0,622905,23,0,1,1
2.9934747419608847,122684,3,1,0,0
7.146246221865857,154814,16,0,1,1
7.735383062511036,58066,13,0,1,1
7.6514845508261775,26575,16,0,1,1
4.584094388250197,2612,3,1,0,0
4.832719329585188,1448670,2,1,0,0
7.15828854889654,368881,20,0,1,1
7.4041174627652,65363,5,0,1,1
7.123681637615315,94203,13,0,0,1
7.498218670610781,33667,13,0,0,1
4.6365353310827375,4524,2,1,0,0
7.210331644334893,1750787,2,0,0,0
3.505143647532459,22310,1,1,0,0
3.826209894340524,21232,3,1,0,0
4.529430591677552,491691,2,0,0,0
